dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3
0.064,2.8001255864864687,-0.15188647863272803,-2.786120449566152,0.13788134171241104
0.049,2.684714540599194,-0.0366700171173461,-2.7529493850931437,0.10490486161129606
0.052,2.638488329791158,-0.019644988454004295,-2.7216463533071438,0.10280301196998995
0.045,2.6896698873548366,-0.002052155802094835,-2.7062162472271867,0.018598515674445044
0.052,2.719571920690654,-0.1062217448470114,-2.8254452411952014,0.21209506535155867
0.053,2.682476507894477,-0.14209280272644095,-2.6736812628385245,0.13329755767048873
0.05,2.75347322385043,-0.0844107469550196,-2.7000408433883964,0.030978366492986263
0.051,2.7568768817732296,-0.04247542169987664,-2.860598192727475,0.14619673265412203
0.049,2.8343313631804925,-0.04415557069387632,-2.839769685883527,0.049593893396910796
0.049,2.6094123679813515,-0.07637601190476857,-2.7877209716325537,0.254684615555971
0.048,2.627957417974982,0.08638763694173666,-2.9769502272438726,0.26260517232715397
0.047,2.7808464724097637,-0.13892556176805484,-2.6851558018574044,0.043234891215695716
0.054,2.685828467461142,-0.10654118080740123,-2.8184290022270253,0.2391417155732844
0.045,2.6788389735267466,-0.0725377825590207,-2.61740395061275,0.011102759645024265
0.052,2.8980874245039345,-0.13911717407874438,-2.8407523498233305,0.08178209939814
0.05,2.6578473052612344,-0.013181075779205048,-2.8990925584705476,0.2544263289885186
0.049,2.5786525701908927,-0.006563694588004833,-2.7059568848584985,0.13386800925561046
0.044,2.5928661584154074,-0.0704808576755353,-2.7337366198759003,0.21135131913602836
0.056,2.53338855778543,-0.05893252104267555,-2.722320034882891,0.24786399814013674
0.046,2.5868424520925144,-0.09950821694124516,-2.766050793362414,0.27871655821114466
0.048,2.5714340923047687,-0.0049560819859698485,-2.6937805626447116,0.12730255232591253
0.046,2.612759105034349,-0.037134877006367494,-2.687598012109569,0.11197378408158758
0.053,2.537275100675605,-0.0864716077002488,-2.664265377337484,0.21346188436212793
0.04,2.6259720435823546,-0.10223689660134584,-2.806345615291887,0.2826104683108784
0.049,2.623354882074602,0.050733783369878015,-2.879304205018694,0.20521553957421365
0.046,2.4495107056924375,0.1689475243327207,-2.8043688898067427,0.18591065978158455
0.058,2.321499572030089,0.13379845276328847,-2.700506110844122,0.24520808605074498
0.056,2.3332811286591895,-0.04507708917274775,-2.686259561970341,0.39805552248389925
0.061,2.301799625711615,0.18745271558940152,-2.8248277057702618,0.33557536446924524
0.045,2.474555034125436,0.09578405867274699,-2.7707485383110604,0.20040944551287743
0.053,2.617041852140906,-0.03877441379000078,-2.71508271064653,0.13681527229562496
0.054,2.4838552114004635,0.0660620680436797,-2.731147598187052,0.1812303187429087
0.055,2.681410837009045,-0.06340965774257848,-2.7519072039736456,0.13390602470717952
0.049,2.614808117723417,-0.04275840963035686,-2.6214944448480324,0.049444736754972365
0.046,2.5152432853797135,-0.06729507889857814,-2.8288555556935355,0.3809073492124
0.058,2.396238863112835,-0.1314821406738576,-2.574993772558212,0.31023705011923475
0.048,2.5988594242327836,-0.16941814713787323,-2.7573761392319778,0.3279348621370677
0.049,2.559261137049425,-0.05568569490733323,-2.835997148042137,0.3324217059000455
0.049,2.58833552271899,-0.147653077785967,-2.693624455062053,0.2529420101290303
0.038,2.3073697464268155,0.032014929646696326,-2.663092852507453,0.32370817643394123
0.048,2.4820502448975588,-0.043258956661856855,-2.7336524786685175,0.2948611904328158
0.045,2.361824650747276,-0.017840181760340593,-2.6098604985157507,0.26587602952881545
0.045,2.492779565992952,-0.04376255721758017,-2.607420566593471,0.15840355781809964
