dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3
0.046,1.9111943538296543,-2.694480364700269,-1.3672205529901769,2.150506563860792
0.051,1.887714347984015,-2.690346939231432,-1.3400656525349748,2.142698243782392
0.045,1.7479627489934457,-2.6333904389914244,-1.3369346366757757,2.2223623266737547
0.049,1.8704561541294467,-2.7119652899466735,-1.3499149976050488,2.1914241334222755
0.048,1.7982176151195077,-2.595694835931011,-1.3124575756915804,2.1099347965030835
0.05,1.8146871737390535,-2.6656565436560307,-1.3958959543122533,2.2468653242292307
0.045,1.900094856786493,-2.7188714666989733,-1.4945290548069972,2.3133056647194774
0.052,1.797407565440813,-2.684581750395683,-1.3057371558630142,2.192911340817884
0.044,1.7816761408225674,-2.6267683255976597,-1.3305674875028093,2.1756596722779014
0.051,1.7626143680653414,-2.590093913303077,-1.395270830652436,2.222750375890172
0.049,1.7719849442368487,-2.727005531060209,-1.105086064242069,2.0601066510654293
0.046,1.803815904936282,-2.6582482065041897,-1.4036054423380178,2.2580377439059256
0.046,1.826391027846139,-2.7632469487782068,-1.22362636780182,2.160482288733888
0.051,1.7665377687144037,-2.725884462082077,-1.2891883337859886,2.2485350271536615
0.047,1.8573537809586138,-2.808849881041537,-1.1537016770135609,2.105197777096484
0.047,1.7639101057573496,-2.8177029794029145,-1.1599458683932407,2.2137387420388057
0.05,1.8336528763633622,-2.8061488517813746,-1.196075298312845,2.168571273730857
0.048,1.7353386639670432,-2.7426298032043865,-1.2177472312238637,2.225038370461207
0.048,1.7735293464411341,-2.8048847227656184,-0.994136538349671,2.0254919146741552
0.045,1.7446577710969924,-2.8056207702500298,-1.02530006048942,2.0862630596424574
0.049,1.713673913834645,-2.8252314800648173,-1.0333645750253522,2.1449221412555244
0.05,1.7246645646155567,-2.7856863522059134,-1.242350065495095,2.303371853085452
0.048,1.5442815402420085,-2.751996491693598,-1.1544446155393364,2.362159566990926
0.046,1.609715683660286,-2.891531303808276,-0.9116586830700227,2.1934743032180126
0.05,1.6080133830996293,-2.773967834952046,-1.0323446540853518,2.1982991059377683
0.052,1.5356745153314377,-2.806497446256115,-1.0020822439310502,2.2729051748557274
0.045,1.5648809094289051,-2.7948693095488557,-1.048640028743018,2.2786284288629686
0.049,1.5487154767774929,-2.9114235691534023,-0.9014814902934467,2.2641895826693563
0.047,1.6746751350747837,-2.9451255876470745,-0.8869814516029092,2.1574319041752
0.046,1.396186417665055,-2.8721325716687844,-0.8615229275070913,2.3374690815108203
0.048,1.5156196729962803,-2.9819103409118735,-0.6422280328854408,2.1085187008010338
0.048,1.4576089592999764,-2.928337143024242,-0.8636477614478615,2.3343759451721273
0.045,1.4184732853776392,-2.9499781756161334,-0.6733236957018732,2.2048285859403673
0.05,1.356292469142184,-2.9190891753274295,-0.798620176828281,2.3614168830135265
0.049,1.3952962224415786,-2.903781595118789,-0.8638913346944384,2.372376707371649
0.048,1.2191786904165893,-2.8650363552539453,-0.817548590133492,2.463406254970848
0.048,1.3157316137352297,-2.8571292869119005,-0.9231068400568471,2.4645045132335177
0.046,1.171107637299713,-2.8587203576521216,-0.8303331684700931,2.517945888822502
0.05,1.178561555726017,-2.837888819966077,-0.8338086690746878,2.493135933314748
0.051,1.12340696968823,-2.884453476601305,-0.6979633164384408,2.4590098233515154
0.045,1.1271630825444592,-2.9385467755422465,-0.6648717405924509,2.4762554335902385
0.047,0.9950624601070747,-2.7781901592796103,-0.7824401985214542,2.56556789769399
0.049,1.0872440781784727,-2.882321935790872,-0.5315073815312149,2.3265852391436144
0.05,0.979625061424764,-2.8336517094206073,-0.6507797521244281,2.504806400120271
0.048,0.9961127123459983,-2.9077532594111517,-0.5389529305603994,2.450593477625553
0.045,1.0275450768081313,-2.9873839114793843,-0.5219277728399042,2.4817666075111573
0.049,0.8492296621505687,-2.9188832046065594,-0.5056022767704969,2.5752558192264874
0.049,0.7603137449048468,-2.8483509348270832,-0.408091482698316,2.4961286726205523
0.045,0.8073842272516732,-2.860232615709272,-0.32450016980483737,2.3773485582624363
0.049,0.7688654450660104,-2.9054118952520165,-0.3285331013543687,2.465079551540375
0.049,0.6006867572219581,-2.906733649945734,-0.3261039690046894,2.6321508617284657
0.048,0.5362517612508776,-2.8356324713939816,-0.26348940342382504,2.562870113566929
0.047,0.6117168481761067,-2.8910650694550855,-0.08975768528451739,2.369105906563496
0.049,0.3593431931533775,-2.8176023486767807,-0.12950201119758217,2.5877611667209854
0.049,0.38942987460129386,-2.8769244845561452,0.08805569750022899,2.3994389124546225
0.049,0.4082476016127521,-2.8462316039306246,0.09120000454277832,2.3467839977750944
0.046,0.3429556310554581,-2.8964401593885087,-0.022378017215268504,2.5758625455483193
0.046,0.21578019535269743,-2.9222115387834915,-0.005755416789239553,2.712186760220034
0.049,0.1014997399846469,-2.8119458583961037,-0.04518142945346847,2.755627547864925
0.05,0.19834927892222276,-2.891564156631594,0.04636220410484244,2.6468526736045286
0.047,0.09768205980410175,-2.898887468257887,0.2100521831577496,2.5911532252960354
0.046,0.06709254076873783,-2.8978072189864,0.29093267000262857,2.5397820082150337
0.051,-0.02430617320793615,-2.866821113365257,0.14981563663025918,2.7413116499429337
0.045,-0.09404519283587176,-2.851754872162233,0.2153060875310885,2.730493977467016
0.051,-0.09659367270105598,-2.8557380110497323,0.1490523807812297,2.8032793029695586
0.046,-0.20545523602677007,-2.8082407475369253,0.15209410299732248,2.861601880566373
0.048,-0.23483563057873885,-2.8155662248346576,0.25270430779334524,2.7976975476200514
0.049,-0.11822665235353216,-2.81932095165667,0.23638522017861463,2.701162383831588
0.051,-0.21369844983560396,-2.673511274400978,0.023331298171340047,2.863878426065242
0.048,-0.1588707485319152,-2.7831661368060066,0.08486855367938459,2.8571683316585372
0.047,-0.18777111112331427,-2.721635964692805,0.0697966233385705,2.839610452477549
0.048,-0.29311062620432676,-2.7053049020523487,0.20745461366076434,2.7909609145959116
0.047,-0.3619166383797506,-2.684797410969264,0.14765466316207818,2.8990593861869365
0.048,-0.25097076312408434,-2.69729974953147,-0.10029871486743369,3.048569227522988
0.046,-0.34677472733938214,-2.6099093153952095,-0.017408588743188597,2.9740926314777805
0.048,-0.3487862204566326,-2.6810375622009963,0.0731521686572881,2.956671614000341
0.05,-0.4235278818033624,-2.6350676095195693,0.18309585996011646,2.875499631362815
0.047,-0.5264830819125229,-2.672435618957401,0.21783352690989446,2.9810851739600293
0.049,-0.5690722117956363,-2.7778990347647072,0.22373172784715298,3.1232395187131905
0.047,-0.5631613162435285,-2.700090202897191,0.26555859948241195,2.9976929196583075
0.047,-0.6195400269737076,-2.791265990052022,0.39747438465827467,3.013331632367455
0.052,-0.9283316985676866,-2.7044027468931655,0.6894185479471051,2.943315897513747
0.046,-0.8345841047447228,-2.7350591154604658,0.49088615716134365,3.0787570630438448
0.05,-1.0304149287364817,-2.7361602718081923,0.6703519869518629,3.096223213592811
0.045,-0.8890680090040365,-2.9395842334177895,0.7730073969586496,3.0556448454631764
0.05,-1.0213390020962305,-2.7665668402527466,1.0090440626942718,2.7788617796547053
0.048,-0.9822677854738909,-2.824761962366133,0.8934158882683868,2.913613859571637
0.046,-1.0696888769793698,-2.8578480309845036,0.9479738915632839,2.979563016400589
0.048,-1.0625504317434233,-2.8756786237836147,0.9089700639212265,3.0292589916058117
0.049,-1.174688920990493,-2.9516448238559962,1.1788021926102965,2.947531552236193
0.048,-1.1566603346893443,-2.883488223585956,1.183956364156221,2.8561921941190795
0.047,-1.0987138665749818,-2.912984627013929,1.1188454638022405,2.89285302978667
0.049,-1.2672754517174971,-2.7806087953557115,1.1706471440814183,2.8772371029917903
0.048,-1.1575199941563978,-2.8458122742458674,1.0354452910738676,2.9678869773283973
0.049,-1.2878111797944063,-2.8317014803849845,1.309207437894152,2.8103052222852387
0.045,-1.3417606131938333,-2.8071092420104535,1.3425589605755326,2.806310894628754
0.049,-1.3040740683333512,-2.771938069897713,1.380695705905896,2.6953164323251677
0.048,-1.331440422383092,-2.77365213154815,1.2689257853657865,2.8361667685654552
0.051,-1.3192528743110965,-2.7664351235685456,1.2178678016361584,2.8678201962434837
0.049,-1.3962892244537106,-2.7782503152020293,1.2496322335092795,2.9249073061464603
0.044,-1.483454792114253,-2.6440902484030286,1.2733135093490129,2.854231531168269
0.049,-1.49391112364148,-2.7287474576185122,1.3966172389447797,2.826041342315212
0.048,-1.299106737571545,-2.7943373945309515,1.2797519890684894,2.8136921430340074
0.049,-1.5306820052796872,-2.729263421245462,1.3969039413104976,2.863041485214652
0.045,-1.3988657228867836,-2.720832604433357,1.444024118242157,2.6756742090779837
