x,y
2.554837,1.751780
2.561743,1.745341
2.561019,1.741358
2.568000,1.736372
2.574396,1.717644
2.584235,1.707467
2.597328,1.711831
2.605936,1.715576
2.604460,1.715178
2.607790,1.725691
2.609037,1.730934
2.608317,1.717103
2.606423,1.721880
2.598154,1.718147
2.599025,1.716710
2.596272,1.719743
2.585426,1.731784
2.577568,1.730134
2.570511,1.728295
2.564876,1.718347
2.559257,1.708822
2.548558,1.702602
2.537417,1.699505
2.530602,1.681045
2.518901,1.664111
2.509456,1.639583
2.501036,1.620026
2.497657,1.594251
2.482510,1.544862
2.459890,1.518103
2.458672,1.490298
2.460841,1.453844
2.452591,1.428776
2.446610,1.393041
2.442590,1.352765
2.429678,1.314954
2.428404,1.279670
2.415265,1.240952
2.398218,1.206303
2.399963,1.174022
2.392472,1.130267
2.392377,1.087392
2.405457,1.046875
2.408690,1.016078
2.417801,0.980483
2.433426,0.932043
2.457507,0.889674
2.452494,0.836203
2.469618,0.792137
2.486544,0.719846
2.490496,0.667230
2.510336,0.615131
2.524256,0.554497
2.526495,0.522519
2.541880,0.486108
2.527584,0.464821
2.526417,0.403917
2.518122,0.336253
2.527608,0.282842
2.527905,0.231975
2.531271,0.206269
2.538902,0.157261
2.525604,0.122759
2.513106,0.084888
2.517329,0.052079
2.520819,0.022532
2.516632,-0.017815
2.525903,-0.058945
2.538137,-0.107185
2.538718,-0.141922
2.545359,-0.188357
2.559116,-0.235002
2.555594,-0.282890
2.573158,-0.312219
2.580279,-0.356509
2.570163,-0.381445
2.569018,-0.422435
2.562849,-0.467081
2.558620,-0.503425
2.552007,-0.540010
2.544335,-0.588314
2.527167,-0.629240
2.511462,-0.665452
2.500357,-0.705335
2.482637,-0.757278
2.463605,-0.812909
2.449694,-0.858310
2.439111,-0.900758
2.425193,-0.937979
2.422254,-0.967719
2.409852,-1.002810
2.400372,-1.040203
2.394000,-1.084027
2.386918,-1.124555
2.376151,-1.160422
2.371334,-1.198692
2.369171,-1.227426
2.358961,-1.255849
2.355929,-1.286455
2.349993,-1.319693
2.338960,-1.354885
2.337562,-1.393337
2.343185,-1.432442
2.344752,-1.472316
2.349425,-1.522321
2.352431,-1.558232
2.355797,-1.614456
2.361709,-1.667277
2.364184,-1.709668
2.369563,-1.770397
2.381965,-1.815478
2.386979,-1.861488
2.389749,-1.908750
2.393075,-1.956723
2.400987,-1.996420
2.410252,-2.037645
2.422768,-2.072962
2.429697,-2.101803
2.437259,-2.131405
2.445036,-2.159614
2.454509,-2.190401
2.458269,-2.226164
2.462318,-2.248347
2.469087,-2.270679
2.475880,-2.293825
2.477413,-2.315416
2.478313,-2.343218
2.481214,-2.365331
2.489848,-2.377252
2.499822,-2.388073
2.506235,-2.406268
2.512335,-2.420391
2.511745,-2.439782
2.506976,-2.455291
2.504812,-2.469153
2.498633,-2.485731
2.497069,-2.508172
2.496813,-2.527499
2.502027,-2.541599
2.499668,-2.561055
2.493133,-2.580284
2.494237,-2.588242
2.492533,-2.596269
2.497781,-2.608923
2.491636,-2.629779
2.485705,-2.649708
2.493276,-2.658969
2.488117,-2.679918
2.490620,-2.692387
2.491255,-2.704995
2.492376,-2.714358
2.493619,-2.723790
2.496919,-2.733664
2.500951,-2.734683
2.509728,-2.734384
2.512612,-2.739501
2.520089,-2.739249
2.516796,-2.746217
2.522753,-2.743655
2.525013,-2.739554
2.521098,-2.740239
2.512466,-2.743223
2.502352,-2.746971
2.490227,-2.746583
2.473142,-2.763231
2.467030,-2.747254
2.452155,-2.737611
2.437229,-2.727230
2.413761,-2.725179
2.393669,-2.717232
2.368885,-2.711011
2.343864,-2.700963
2.312596,-2.694291
2.264616,-2.675216
2.220433,-2.651716
2.175301,-2.625532
2.118879,-2.610812
2.071302,-2.589289
2.019944,-2.569324
1.975612,-2.544559
1.932401,-2.519701
1.878293,-2.504228
1.814050,-2.494837
1.755817,-2.444423
1.676606,-2.410231
1.606582,-2.379319
1.545524,-2.349901
1.462421,-2.269855
1.392635,-2.227045
1.305546,-2.169240
1.240511,-2.155203
1.183685,-2.152234
1.122532,-2.151058
1.081314,-2.150223
1.035456,-2.153263
0.981114,-2.164163
0.923558,-2.172871
0.876369,-2.176131
0.822946,-2.185046
0.768006,-2.193142
0.717929,-2.199081
0.663058,-2.208362
0.611579,-2.215920
0.558848,-2.223322
0.505083,-2.230659
0.448702,-2.240580
0.397045,-2.245808
0.340858,-2.249236
0.282986,-2.258244
0.229863,-2.260937
0.170545,-2.267329
0.117809,-2.273243
0.073165,-2.276464
0.027508,-2.276815
-0.012414,-2.277811
-0.058239,-2.277650
-0.100358,-2.279239
-0.131855,-2.274865
-0.161418,-2.269491
-0.189055,-2.264092
-0.215950,-2.257491
-0.246139,-2.250529
-0.273221,-2.237276
-0.289602,-2.223342
-0.313030,-2.211685
-0.327481,-2.201400
-0.337914,-2.190216
-0.365491,-2.172815
-0.390960,-2.155826
-0.413126,-2.143372
-0.434184,-2.130294
-0.450587,-2.121939
-0.466618,-2.114131
-0.480963,-2.109368
-0.494371,-2.107217
-0.515610,-2.100458
-0.526894,-2.097988
-0.544985,-2.092379
-0.562366,-2.093081
-0.578046,-2.098479
-0.597885,-2.103749
-0.601623,-2.112374
-0.618153,-2.115932
-0.627097,-2.118076
-0.626292,-2.121603
-0.643123,-2.122215
-0.654461,-2.123259
-0.655462,-2.130081
-0.673281,-2.138139
-0.676685,-2.154049
-0.686712,-2.171850
-0.694821,-2.191393
-0.690703,-2.216349
-0.695328,-2.236148
-0.692555,-2.261359
-0.678726,-2.288885
-0.670383,-2.317929
-0.658818,-2.345876
-0.664100,-2.374776
-0.651335,-2.397662
-0.645608,-2.419011
-0.638790,-2.454379
-0.613750,-2.482722
-0.594706,-2.516687
-0.585374,-2.544020
-0.577940,-2.567412
-0.575892,-2.596916
-0.565216,-2.631091
-0.550220,-2.657643
-0.549862,-2.683861
-0.532005,-2.716885
