[2025-09-02 17:04:28.324] [info] topic=vd/scatter, payload={"xy": [12.495166111101828, 3.34972030106542], "xz": [12.495166111101828, 2.0063395804167827]}
[2025-09-02 17:04:28.325] [info] topic=vd/scatter, payload={"xy": [12.45729206850766, 3.3799045907147973], "xz": [12.45729206850766, 2.006592639496607]}
[2025-09-02 17:04:28.325] [info] topic=vd/scatter, payload={"xy": [12.430471413858875, 3.3726921725092383], "xz": [12.430471413858875, 2.0067621683886743]}
[2025-09-02 17:04:28.325] [info] topic=vd/scatter, payload={"xy": [12.402704128799353, 3.3461353843224426], "xz": [12.402704128799353, 2.0067262620742756]}
[2025-09-02 17:04:28.325] [info] topic=vd/scatter, payload={"xy": [12.383585351391126, 3.321983180049581], "xz": [12.383585351391126, 2.0065381674745426]}
[2025-09-02 17:04:28.325] [info] topic=vd/scatter, payload={"xy": [12.351737852703717, 3.3161435623743665], "xz": [12.351737852703717, 2.0069005237806685]}
[2025-09-02 17:04:28.325] [info] topic=vd/scatter, payload={"xy": [12.318562138474503, 3.3380531697270452], "xz": [12.318562138474503, 2.007287530379626]}
[2025-09-02 17:04:28.326] [info] topic=vd/scatter, payload={"xy": [12.286114939502085, 3.328735989408533], "xz": [12.286114939502085, 2.007218985135174]}
[2025-09-02 17:04:28.326] [info] topic=vd/scatter, payload={"xy": [12.248552627424623, 3.361335699803846], "xz": [12.248552627424623, 2.007648876028181]}
[2025-09-02 17:04:28.326] [info] topic=vd/scatter, payload={"xy": [12.208027695707852, 3.3478552671058637], "xz": [12.208027695707852, 2.007384535600481]}
[2025-09-02 17:04:28.326] [info] topic=vd/scatter, payload={"xy": [12.15833907036402, 3.3642553820458767], "xz": [12.15833907036402, 2.007571282208267]}
[2025-09-02 17:04:28.326] [info] topic=vd/scatter, payload={"xy": [12.119373783755384, 3.331008241629911], "xz": [12.119373783755384, 2.007522823743559]}
[2025-09-02 17:04:28.326] [info] topic=vd/scatter, payload={"xy": [12.075851504762586, 3.323363766091349], "xz": [12.075851504762586, 2.0075338084743524]}
[2025-09-02 17:04:28.327] [info] topic=vd/scatter, payload={"xy": [12.042584560687498, 3.3075663831224826], "xz": [12.042584560687498, 2.0077443928540006]}
[2025-09-02 17:04:28.333] [info] topic=vd/scatter, payload={"xy": [11.99386887624234, 3.307661916418346], "xz": [11.99386887624234, 2.008129027175897]}
