dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3
0.046,-0.6636051903545431,2.6860478976878,1.1881315541311064,-3.0726110457152234
0.046,-0.5594332160396849,2.8030204015614313,0.8779458734188494,-3.121533058940596
0.046,-0.45992534629320675,2.7818725192455127,0.8504113705561346,-3.1108267636711457
0.046,-0.47094836941986457,2.6673515664443483,1.0499536278753048,-3.036828482279798
0.045,-0.5288469478011828,2.6309599057682767,1.1232941312779996,-3.057778217934493
0.047,-0.41917061908278114,2.597935453380264,1.219457237400495,-2.8849632354816084
0.061,-0.3426033001168639,2.6706831549853622,0.8948926964246091,-3.060212755886479
0.046,-0.31406716199762874,2.682205338385486,0.9453973142912393,-2.96964981650049
0.047,-0.26554789849622495,2.640234175916773,0.9528715611271051,-2.955627468631933
0.047,-0.2823900774368959,2.705825430296856,0.821688033949151,-3.0380619203704757
0.044,-0.2202500941634561,2.695546827022611,0.9048048174677947,-2.903083756852637
0.046,-0.1881252065444047,2.6382740906141016,0.8220385612685847,-3.010997861841305
0.047,-0.25343647584629975,2.62326892729719,0.9230930697716317,-2.9902597859570643
0.048,-0.3093061367630667,2.55820799385748,1.1361957830820373,-2.8980876670031357
0.061,-0.27425354605072816,2.6936584403248935,0.822444923798078,-3.041335489107343
0.046,-0.19593456021288208,2.666745930836487,0.7390859502190382,-3.0732879863369433
0.046,-0.1879376431898213,2.5737536185280088,0.8968779291117862,-3.000491402729613
0.046,-0.3130711790964787,2.6522367178205495,0.9670488351907588,-2.9769709332647567
0.047,-0.27893955511077095,2.613081414484442,0.9013236737326051,-3.04771977407331
0.045,-0.18253794420533592,2.60763857647513,0.9238282484186403,-2.934256426491152
0.045,-0.18288402918087296,2.5066516219629986,0.8899861273442361,-3.069431587053225
0.062,-0.32950965892007167,2.6131101872132922,0.8730901919432177,-3.1264945869431484
0.045,-0.24948241109478397,2.3805775689226962,1.0625273266944257,-3.089562822657248
0.046,-0.23173589799240027,2.5670269480273875,0.9858459972258006,-2.9620482599187987
0.047,-0.20002446418518036,2.60035965647174,0.8257142460780045,-3.0571358688150223
0.047,-0.1229482261055869,2.5057544031090555,0.7723599013367063,-3.1280192288394115
0.046,-0.1365391738243171,2.5433761237530548,0.9089214332518044,-2.9674269239990445
0.047,-0.2309781439724885,2.538304238229777,0.8487379999079349,-3.1271212130143633
0.047,-0.15288430383586699,2.6103468119748854,0.6707448798203958,-3.128207387959414
0.044,-0.18836715012661578,2.4742299134936823,0.9716566565980964,-3.0256658872144233
0.046,-0.11810607326638096,2.4763237997609058,0.8064821300189602,-3.1184854506661015
0.062,-0.12927653554486285,2.528961958181621,0.767633159882657,-3.1158667246601714
0.047,-0.2230647902054061,2.5790662797990387,0.7782919073917295,-3.134293396985362
0.046,-0.040872833436718305,2.4353385522715634,0.7815759654371207,-3.107143622907621
0.046,-0.15359193120441333,2.438394467027558,0.9134351389704086,-3.084947632386033
0.046,-0.18552268748521497,2.5072959140810487,0.8072932547917898,-3.129066481387624
0.046,-0.1767702113729236,2.4020739415588346,0.9519473089721208,-3.1059342680215547
0.046,-0.18459489681092192,2.5243546098374896,0.8290844873482751,-3.1143411068047433
0.046,-0.13077962412241417,2.417092451982846,0.9075165656540283,-3.0893559136651265
0.061,-0.06537126484629834,2.501345908964128,0.7242202915184514,-3.122990371543305
0.046,-0.11320652883873088,2.475497268418934,0.822032298220408,-3.098862269378975
0.045,-0.12342558789962874,2.495261042816414,0.679237753445904,-3.051073208362689
0.046,-0.001861719479239378,2.378919745706195,0.7990872495888882,-3.1070400313637427
0.047,-0.25748319025538835,2.4714454325542152,0.8468322980945702,-3.060794540393397
0.046,-0.06632875734022929,2.4416161569390784,1.0074867193618435,-2.900411188218894
0.046,-0.01250895700081253,2.4164785220668374,0.8919942318128119,-2.9872215103007496
0.063,-0.15902977748230063,2.511924159854738,1.07737077558464,-2.852920149222509
0.045,0.01268314497331142,2.4659169326340598,0.8776114390358064,-2.926973790536409
0.047,0.023561221595991458,2.5027384880649115,0.9470041156979496,-2.809881481820734
0.046,-0.01725539847099815,2.490370362762207,0.8377464369124106,-2.972323905975967
0.049,0.07167859260584868,2.4580883834100873,0.8670666253446688,-2.886351705818982
0.045,-0.005706363519319596,2.493282941358462,0.9153320835575425,-2.8802766457829017
0.047,0.07739511682157209,2.5753864103777993,0.7478140060761553,-2.88258977390406
0.046,0.11830656762865976,2.5673561106841216,0.734539884359811,-2.862982744506994
0.048,0.12770594480120454,2.566641541950861,0.7098000221715656,-2.879037798255956
0.046,0.1303579108799397,2.6364286940042105,0.5912505459466431,-2.9251481563487935
0.047,0.1400111647603112,2.7698952247984066,0.364322926641622,-3.0089559909792465
0.06,0.059341924189096576,2.802928308266722,0.3924582060490513,-3.028456868674717
0.045,0.02327474638216987,2.904361103006846,0.2528260642952141,-3.1027233934953564
0.047,0.04466350166837253,2.874684043502358,0.21369683634578585,-3.1330443815165165
0.045,0.07229108073782518,2.894046207613013,0.22708957512457867,-3.0897584437041696
0.046,0.006193371577050698,2.9327237277323626,0.20123703684901637,-3.1401541361584298
0.048,0.03832847737603921,2.9878287699688686,0.113452167040298,-3.139609414385206
0.047,0.09211897315211659,3.0575551188273944,0.04749135577341155,-3.086019859426664
0.047,0.06952858563899696,3.0028295521904935,0.02776227401614934,-3.10012041184564
0.047,-0.32690632398463154,2.9685161268768834,0.012457394325040418,-3.0002202506431117
0.047,-0.12820211834318976,3.1218242157920923,-0.11966365468312021,-2.9134953183611842
